R;G;B
202.0815569;181.6823616;128.0600143
204.2414532;171.7694253;126.4315815
207.3017607;166.0168733;104.9291097
228.1042001;208.239544;178.4651403
163.9389071;140.6540039;116.7157554
160.8133551;140.1304356;93.81074448
230.784748;151.7547899;72.15412446
207.7282057;90.7342147;64.17994514
161.5915413;31.13091993;24.16288831
155.0174486;18.20025444;21.58208301
102.2830158;20.3432023;30.66467319
61.2817403;35.59419029;38.98162237
104.4483212;47.39647686;42.251259
116.7532305;28.06402061;29.14860558
196.7824848;130.2242094;108.0803537
144.3884736;42.76486895;35.04430469
197.4819896;110.1462893;113.8567511
214.0504473;155.1098498;162.4454214
197.9921645;78.89611729;89.21089228
195.2104559;57.90019547;69.98839345
203.0975933;99.38659444;77.13803676
173.4612265;24.76365332;56.47087926
165.5230024;42.60524766;49.97656017
124.9857668;94.12459843;126.8376983
142.0094372;55.25851128;71.51849145
194.5713448;93.48193984;139.8373209
93.9089776;16.50066658;49.13956104
115.974906;102.4098868;151.934472
139.8258369;47.61960844;109.8165983
65.44642883;25.51671789;51.8282437
129.0468856;67.99798221;125.4325474
152.4671869;130.2924787;141.3776258
185.4001761;61.3726593;114.6970934
36.07725994;75.59051618;108.6108106
12.99295098;44.32473703;79.66408104
93.70175633;120.6720843;145.3117869
24.30867324;40.61113192;87.0473373
61.94575723;103.5818991;137.4285418
93.76693502;145.7141113;169.5504625
51.86404358;112.073039;90.95008005
46.49570763;101.2284341;45.7032996
43.33098191;88.77034788;32.26806834
75.74224247;77.76319708;52.31802717
85.74824593;147.927932;42.01719277
181.6746056;203.2984733;170.0211392
54.79770048;65.35794145;45.92599995
136.4640222;153.1004971;119.4559703
56.32327226;48.69209659;36.03874875
91.30860253;107.1622082;54.94349594
118.1317108;182.9388149;177.4556053
45.49304756;80.77070092;63.1150325
12.50194882;124.5287796;76.01965957
149.5506319;149.8496368;151.2940386
108.2396843;111.0873936;107.1795759
30.35762711;33.43897733;36.49582017
